Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
5.326369047164917,0,58.828083,0.05200086,0
34.052765130996704,1,320.47382,0.040038276,0
64.59802317619324,2,377.27933,0.02286904,0
94.7919270992279,3,125.21818,0.012917869,0
124.29143619537354,4,24.350443,0.012389673,0
153.7604341506958,5,109.383484,0.013292988,0
183.19445300102234,6,62.94814,0.013719225,0
212.8869800567627,7,62.340485,0.01403383,0
242.99279808998108,8,39.206097,0.014477385,0
272.4398651123047,9,-2.4236438,0.014673071,0
302.56000804901123,10,74.01696,0.014868672,0
333.13334608078003,11,63.873566,0.014989364,0
363.07063913345337,12,68.196075,0.015248304,0
393.2997031211853,13,51.57884,0.015388966,0
423.3235671520233,14,36.12684,0.015532571,0
452.858412027359,15,85.070015,0.015392855,0
483.10586404800415,16,39.328175,0.015626423,0
514.1664831638336,17,110.14919,0.015720924,0
544.1887581348419,18,91.27,0.01567186,0
576.0750629901886,19,62.481262,0.015735526,0
605.6767110824585,20,75.3376,0.015694395,0
635.7725629806519,21,60.711365,0.015921744,0
665.4255270957947,22,79.62927,0.015923742,0
695.2745540142059,23,34.95949,0.015957603,0
725.4640831947327,24,-27.287577,0.016194273,0
754.8468551635742,25,-10.497249,0.016625792,0
784.3500871658325,26,120.96907,0.016644793,0
813.7925660610199,27,241.1241,0.016781213,0
845.2761421203613,28,203.3288,0.017070182,0
875.0034301280975,29,106.960365,0.017241977,0
904.578202009201,30,169.29233,0.017213034,0
934.1552231311798,31,148.42549,0.017687963,0
963.6940591335297,32,79.95508,0.01857834,0
993.4407591819763,33,266.2912,0.018922975,0
1023.1215291023254,34,283.42334,0.018979032,0
1052.6416840553284,35,80.51864,0.019226164,0
1082.344449043274,36,-127.180336,0.01981185,0
1112.000519990921,37,101.745476,0.0202017,0
1143.0779190063477,38,338.29648,0.02057061,0
1172.6481621265411,39,320.2079,0.020951329,0
1202.2403361797333,40,174.44052,0.021162894,0
1231.874566078186,41,-154.43484,0.021133434,0
1261.2763521671295,42,437.4772,0.021638699,0
1290.7645621299744,43,-124.87755,0.022235155,0
1320.0624330043793,44,171.83441,0.021836314,0
1349.5860981941223,45,189.89697,0.022784114,0
1379.1035959720612,46,44.206757,0.022494141,0
1408.6388070583344,47,-182.54887,0.02262238,0
1438.3671100139618,48,350.55212,0.023315467,0
1467.9208340644836,49,192.73065,0.02322376,0
1497.439628124237,50,509.64005,0.023305688,0
1527.1697251796722,51,113.26985,0.023826916,0
1556.8406410217285,52,392.96658,0.023578309,0
1586.4651160240173,53,-193.61548,0.023717504,0
