Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
61.16632103919983,0,5.433042,0.037584264,1
427.52233815193176,1,429.59207,0.03943482,1
794.5953981876373,2,314.04697,0.040654868,1
1162.8773670196533,3,291.37936,0.04156538,1
1530.128867149353,4,276.35815,0.040574346,1
1896.8841950893402,5,259.31042,0.042992733,1
2263.797566175461,6,242.5191,0.04238921,1
2629.8497970104218,7,225.01572,0.040136833,1
2996.43022608757,8,209.11714,0.04388685,1
3360.9482390880585,9,194.59563,0.040815696,0
3726.489664077759,10,182.66383,0.042971306,1
4092.8582031726837,11,171.72665,0.04380898,1
4458.0213441848755,12,163.54868,0.042277463,0
4824.00288105011,13,157.68129,0.044691738,1
5188.241193056107,14,152.58751,0.043473013,0
5553.789977073669,15,148.70282,0.04796367,1
5917.633632183075,16,144.13681,0.045553338,0
6282.229927062988,17,141.99068,0.048341274,0
6648.580193042755,18,140.42902,0.04813759,1
7013.707899093628,19,140.00107,0.048572883,0
7379.3416612148285,20,138.46901,0.044202182,0
7742.305740118027,21,137.10272,0.048533816,0
8108.099770069122,22,138.218,0.045499507,1
8472.152803182602,23,134.74852,0.04658367,0
8835.52070903778,24,134.38197,0.04758805,0
9199.45371222496,25,133.98178,0.049226716,0
9562.110178232193,26,132.59995,0.04678838,0
9925.664669036865,27,131.91568,0.047620885,0
10290.164067029953,28,131.9361,0.045346834,1
10654.069961071014,29,131.09042,0.046800267,0
11017.377218008041,30,129.38133,0.046488132,0
11380.53969502449,31,129.01012,0.04589952,0
11743.674475193024,32,130.27936,0.04916432,0
12106.27093219757,33,128.00023,0.05192647,0
12468.996681213379,34,128.86382,0.04683517,0
12832.150750160217,35,129.4829,0.049286913,0
13195.668507099152,36,126.530266,0.045702774,0
13558.204194068909,37,128.51077,0.04548969,0
13922.029293060303,38,127.59592,0.04627789,0
14286.06295800209,39,126.965515,0.046800148,0
14651.532154083252,40,128.42552,0.04791886,1
