latent_dim,time_mean,time_std,memory_estimate,allocations,gc_percent
21,9.242322283,NaN,1.385807991027832e-6,34,0.0
41,9.242322283,NaN,1.385807991027832e-6,34,0.0
61,9.242322283,NaN,1.385807991027832e-6,34,0.0
81,9.242322283,NaN,1.385807991027832e-6,34,0.0
101,9.242322283,NaN,1.385807991027832e-6,34,0.0
