n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.00502896,2.744069285750635e-5,3.2633543014526367e-6,72,0.0
20,0.005106385,NaN,3.2633543014526367e-6,72,0.0
30,0.005172093,NaN,3.2633543014526367e-6,72,0.0
40,0.00538956,NaN,3.2633543014526367e-6,72,0.0
50,0.0055456,NaN,3.2633543014526367e-6,72,0.0
