N_l,time_mean,time_std,memory_estimate,allocations,gc_percent
10,1.085279872,0.002270934606463977,0.14543233811855316,209368,0.48742689664477623
20,2.181435129,0.019182545530900142,0.2907286435365677,418227,0.6534145714676441
30,3.281022511,0.01600839406603523,0.4360273480415344,627099,0.6050466869228988
40,4.39438523,0.0022601685382202144,0.5813260078430176,835967,0.6527267068936512
50,5.525414103,NaN,0.7266257256269455,1044839,0.602611883549536
