n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.004061973,0.0004927126271571816,1.564621925354004e-6,24,0.0
20,0.004568412,0.0013604317858363832,1.564621925354004e-6,24,0.0
30,0.009986684,0.0014280418544020802,1.564621925354004e-6,24,0.0
40,0.016347337,0.001930426137108957,1.564621925354004e-6,24,0.0
50,0.021572876,0.0023128564874742427,1.564621925354004e-6,24,0.0
