n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.00912475,0.0011191283206295473,1.564621925354004e-6,24,0.0
20,0.012310283,0.0007851493113529426,1.564621925354004e-6,24,0.0
30,0.014116355,0.0013961771228292457,1.564621925354004e-6,24,0.0
40,0.016004749,0.0018165245261261957,1.564621925354004e-6,24,0.0
50,0.020045408,0.0015394779982981649,1.564621925354004e-6,24,0.0
