latent_dim,time_mean,time_std,memory_estimate,allocations,gc_percent
21,0.008332569,0.00022983671013633968,8.195638656616211e-7,20,0.0
41,0.00809644,0.0004092571619789323,8.195638656616211e-7,20,0.0
61,0.007967942,0.0007571974476497747,8.195638656616211e-7,20,0.0
81,0.008529306,0.00020843755963277508,8.195638656616211e-7,20,0.0
101,0.008906243,0.0013417171414647653,8.195638656616211e-7,20,0.0
