latent_dim,time_mean,time_std,memory_estimate,allocations,gc_percent
21,0.003479868,0.00014807868888623598,1.341104507446289e-6,30,0.0
41,0.00349918,0.0001407269432943339,1.341104507446289e-6,30,0.0
61,0.003502833,5.410452130706515e-5,1.341104507446289e-6,30,0.0
81,0.003730614,0.00014643813383644302,1.341104507446289e-6,30,0.0
101,0.00375918,0.00012232587916653886,1.341104507446289e-6,30,0.0
