n_z,time_mean,time_std,memory_estimate,allocations,gc_percent
10,0.0721865,0.00019984676113962919,2.175569534301758e-6,45,0.0
20,0.073577146,1.928916588398783e-5,2.175569534301758e-6,45,0.0
30,0.07423852,0.00024535756779035773,2.175569534301758e-6,45,0.0
40,0.074466091,1.8361441787071077e-5,2.175569534301758e-6,45,0.0
50,0.077030947,0.0012403133774623251,2.175569534301758e-6,45,0.0
