Time (s),Epoch,Train Loss
438.8560149669647,1,0.043892685
914.3485560417175,2,0.030145636
1365.6016600131989,3,0.026724696
1801.0511009693146,4,0.024866784
2283.3764219284058,5,0.024036605
2725.906186103821,6,0.023408847
3177.1601688861847,7,0.022931272
3640.5570709705353,8,0.022526138
4089.6334159374237,9,0.022196129
4557.769582033157,10,0.021984138
4999.395988941193,11,0.021685157
5475.728054046631,12,0.021488113
5921.72877407074,13,0.021302305
6379.115532875061,14,0.021167396
6815.430243968964,15,0.020929063
7289.712461948395,16,0.020750584
7731.115495920181,17,0.020616148
8183.963073015213,18,0.020472229
8634.384754896164,19,0.020356828
9097.06831407547,20,0.020256544
9538.5118060112,21,0.020175288
10000.941710948944,22,0.0200932
10471.802874088287,23,0.020010164
10945.329782009125,24,0.019917708
11408.304398059845,25,0.019830268
11857.57383799553,26,0.019753247
12334.72000002861,27,0.019702913
12778.939748048782,28,0.019626642
13257.437118053436,29,0.019567661
13709.596385002136,30,0.019520577
14185.000365018845,31,0.019464469
14629.102900028229,32,0.019400071
15094.92802810669,33,0.01936162
15557.812069892883,34,0.019286452
16034.503169059753,35,0.019239772
16518.625773906708,36,0.019182412
16959.867633104324,37,0.019141238
17409.718210935593,38,0.019081078
17859.909259080887,39,0.019049311
18284.88562107086,40,0.019011073
18713.245445013046,41,0.018973917
19147.649535894394,42,0.01894401
19598.760312080383,43,0.018883223
20044.69475698471,44,0.018843427
20506.13929104805,45,0.01880186
20980.687114953995,46,0.018779494
21452.305016040802,47,0.01874247
21909.13209104538,48,0.018702194
22350.758454084396,49,0.018665273
22829.997699022293,50,0.018646618
23279.13681101799,51,0.018606234
23739.110341072083,52,0.01858272
24195.42318701744,53,0.018551148
24654.546267032623,54,0.01852653
25130.729748010635,55,0.018489383
25585.74829006195,56,0.018457662
26014.362956047058,57,0.0184206
26450.648555994034,58,0.018401718
26888.18216896057,59,0.018366368
27328.463268995285,60,0.018336488
27789.331486940384,61,0.018324329
28238.967318058014,62,0.018290093
28692.035569906235,63,0.018271819
29130.75044989586,64,0.018242914
29590.850660085678,65,0.018206054
30039.406984090805,66,0.018208705
30474.93635392189,67,0.018168759
30952.06671690941,68,0.018172849
31391.960292100906,69,0.018130317
31832.99041891098,70,0.018119844
32288.419970989227,71,0.018088488
32754.07561993599,72,0.018065318
33197.37094902992,73,0.01805142
33658.23768210411,74,0.01801071
34112.425088882446,75,0.018003806
34551.819923877716,76,0.017981509
34990.7008600235,77,0.017966134
35430.30596399307,78,0.017953495
35869.74188899994,79,0.01792374
36330.2922270298,80,0.017916553
36793.21001791954,81,0.017881013
37245.28534388542,82,0.017872624
37713.16723608971,83,0.017859655
38164.62063598633,84,0.017829135
38607.76289892197,85,0.017831212
39055.410974025726,86,0.017781137
39509.77988600731,87,0.017769802
39974.697836875916,88,0.017753059
40433.533973932266,89,0.01774734
40884.00266599655,90,0.01774123
41328.57509088516,91,0.017706051
41778.16735005379,92,0.017685203
42238.20130109787,93,0.01771297
42703.96098589897,94,0.017660161
43150.8288230896,95,0.017645603
43612.61759710312,96,0.017655052
44079.03747487068,97,0.017594945
44539.64207792282,98,0.017598825
45024.36187291145,99,0.017593684
45467.17399406433,100,0.017555354
45921.87883710861,101,0.01754767
46388.70547199249,102,0.017520243
46829.55356502533,103,0.017515006
47288.75915193558,104,0.01750023
47733.776340961456,105,0.01747214
48187.86776995659,106,0.01746593
48649.86734890938,107,0.0174483
49106.8716878891,108,0.01744311
49586.906754016876,109,0.017435923
50037.57843899727,110,0.017421678
50506.10917592049,111,0.01738322
50964.594691991806,112,0.01737461
51429.16415596008,113,0.017374951
51900.074138879776,114,0.017358284
52366.15576887131,115,0.017349351
52816.90400695801,116,0.01732694
53287.83477807045,117,0.017319687
53750.69402909279,118,0.017301142
54178.25644493103,119,0.017297074
