Time (s),Epoch,Train MLE Loss,Test MSE Loss,Grid Updated
126.54271388053894,0,0.64052737,0.03758493,1
458.0664849281311,1,78.573944,0.10102716,1
793.2964308261871,2,73.7412,0.111171775,1
1134.1908729076385,3,74.73687,0.08822456,1
1468.9827649593353,4,75.32313,0.10082256,0
1811.9301178455353,5,74.60014,0.095282584,1
2150.349498987198,6,74.23864,0.08190206,0
2489.683107852936,7,73.817986,0.10274037,0
2830.618171930313,8,74.60889,0.08991548,0
3171.3878808021545,9,74.36003,0.10215626,0
3513.752509832382,10,73.642426,0.10677129,0
