Time (s),Epoch,Train Loss
444.7524371147156,1,0.048798572
894.535392999649,2,0.033522174
1334.5843110084534,3,0.031452157
1772.3433101177216,4,0.030052604
2213.157819032669,5,0.028966583
2651.8725090026855,6,0.028275575
3090.79643201828,7,0.027702887
3527.1906690597534,8,0.0272438
3966.2096939086914,9,0.026804961
4404.081274986267,10,0.026446873
4842.092678070068,11,0.026182164
5280.382842063904,12,0.025877874
5718.607403039932,13,0.025652392
6154.493957996368,14,0.025417846
6591.2476189136505,15,0.025219347
7027.769781112671,16,0.025047371
7461.664257049561,17,0.024872039
7896.966462135315,18,0.024724383
8333.164130926132,19,0.024537537
8768.636265039444,20,0.024396896
9205.385298013687,21,0.024263613
9639.359318971634,22,0.024123432
10074.997195959091,23,0.023983717
10508.350330114365,24,0.023919761
10943.489071130753,25,0.02380798
11379.970303058624,26,0.023649147
11814.703587055206,27,0.02356771
12250.525922060013,28,0.023469059
12683.366420030594,29,0.023371655
13117.261693000793,30,0.02329045
13553.407221078873,31,0.023218496
13987.455555915833,32,0.023130475
14422.945415973663,33,0.023062127
14856.0776450634,34,0.022965245
15290.131675958633,35,0.022898735
15724.232129096985,36,0.022831948
16159.765191078186,37,0.022761311
16593.0455429554,38,0.022682676
17027.298670053482,39,0.022652907
17460.230261087418,40,0.022573473
17894.79907798767,41,0.022510096
18327.819411993027,42,0.022470983
18759.48174595833,43,0.022414146
19193.511748075485,44,0.02234175
19624.50345802307,45,0.022323389
20060.485208034515,46,0.022247683
20494.418725967407,47,0.022199841
20927.34622812271,48,0.022159846
21359.852818012238,49,0.022123603
21791.104811906815,50,0.022056935
22224.759899139404,51,0.022037327
22656.01350212097,52,0.021987118
23087.325079917908,53,0.021963656
23519.598360061646,54,0.021914575
23950.272833108902,55,0.02187601
24380.990021944046,56,0.021842336
24814.024261951447,57,0.021794861
25243.92655301094,58,0.021771552
25674.840598106384,59,0.021726606
26105.62606191635,60,0.021694623
26539.885756969452,61,0.021653628
26972.480283021927,62,0.02161577
27400.848557949066,63,0.021622775
27832.92122411728,64,0.021550834
28262.04420900345,65,0.021556377
28693.13462305069,66,0.021509724
29123.23933506012,67,0.021489043
29552.28255701065,68,0.021442669
29981.63772702217,69,0.021414222
30442.9915099144,70,0.021400876
30890.635548114777,71,0.021361869
31325.93061709404,72,0.021346873
31760.2017390728,73,0.02131189
32194.612462043762,74,0.021306062
32638.043016910553,75,0.02127918
33075.85891699791,76,0.021246862
33510.561959028244,77,0.021217573
33945.65751004219,78,0.021182364
34379.426404953,79,0.021164572
34812.858227968216,80,0.021155104
35246.69291996956,81,0.021124363
35681.12200307846,82,0.021110969
36114.73608708382,83,0.021085374
36546.11288499832,84,0.021068566
36980.60135412216,85,0.021045301
37415.00254702568,86,0.02101106
37846.744358062744,87,0.020990374
38280.716381073,88,0.020973494
38713.96059012413,89,0.020963585
39147.79487800598,90,0.020932818
39582.7411339283,91,0.020914616
40015.28863811493,92,0.020905947
40447.87672305107,93,0.020889742
40879.28902411461,94,0.020865498
41313.22760510445,95,0.020847097
41745.563535928726,96,0.020822126
42178.1967921257,97,0.020818483
42612.41291809082,98,0.020794446
43047.79345011711,99,0.020765565
43483.91509103775,100,0.020768428
